date,title,venue,city,description
Sat Dec 14,You Deserve It: NYC,Merkin Concert Hall ,New York,* Venues will be announced 6/14/2019It's time to take your life to a higher level and receive all of the amazing things you desire and deserve!Welcome to the YOU DESERVE IT tour. This is a life changing event for men and women that you do not want to miss.Here is what you can expect from this amazing event:A genuine desire for you to experience a higher quality of life and reach your true potential. Guidance and tools to help you achieve better dating better relationships real love a spiritual walk that produces results and a purpose driven life. You will be encouraged enlightened and entertained. We will cover topics such as:Real Love vs An Unhealthy AttachmentOvercoming The Common Pitfalls to Dating & RelationshipsHow To Love Yourself & Attract The Type Of Partner You DesireKeys To Greater Health & A Stronger SpiritImproving Your EnergyFinding Your PurposeHow To Increase Your IncomeHere's a preview of work to expect: https://www.youtube.com/watch?v=UYXFJ6JDyqghttps://www.youtube.com/watch?v=aI73_u4b_RISeating is limited! Hurry secure your seats today.
Fri Dec 13,Free Comedy Show,O.P.P.A. ,New York,not available
Sat Dec 14,Gates of the West: Celebrating the 40th Anniversary of London Calling,Bowery Ballroom ,New York,Tickets on sale Weds 11/13 at 12pm ESTWith performances by- Eugene Hutz of Gogol Bordello- Debbie Harry of Blondie- Jesse Malin- Fred Armisen- Adam Weiner of Low Cut Connie- Julia Cummings of Sunflower Bean- Patrick Stickles of Titus Andronicus- Vernon Reid & Corey Glover of Living Colour- Joseph Arthur- Tad Kubler of The Hold Steady- Dave Immergluck of Counting Crows- Robert Gordon- Don Dilego- Paul Bearer of Sheer Terror- Fiona Silver- Jeremy Lubin of Jeremy & The Harlequins- Diane Gentile- Felice Rosser of Faith- Drew Stone of Antidote- Boots- Ralphie G of The Mob- Jeff Slate- Kris Gruen- Matty HobokenPlus Special Guests! Benefit for the Joe Strummer Foundation and Music & MemoryThe Joe Strummer Foundation is not involved in the organization of this event. For more information on the charity and its work please visit www.joestrummerfoundation.org.
Thu Nov 28,THANKSGIVING APPRECIATION PARTY #SSOM,Maracas Night Club   Richmond Hill ,New York,THURSDAY NOVEMEBER 28 2019 THE NIGHT OF THANKSGIVING _____________________________________________SOCA STATE OF MIND APPRECIATION PARTY____________________________________________TABLE RESERVATIONS / VIP SECTION / PRE-ORDERS BOTTLE AVAILABLE  TEXT OR CALL 917-428-7387 OR 917-533-7985 NOW FOR YOUR RESERVATION _____________________________________________CELEBRATE YOUR BIRTHDAY ABSOLUTELY FREE WITH US RSVP NOW FOR OUR SPECIALS FOR BIRTHDAYS !!!! _____________________________________________STAY UPDATED FOLLOW @SocaStateofmind Now On INSTAGRAM
Fri Nov 29,DJ TUNEZ BLACKOUT NEW YORK CITY,Grand Prospect Hall  Brooklyn ,New York,not available
Sat Mar 9,Glennon Doyle: Untamed at St. Ann's Church,St. Ann & the Holy Trinity Church ,New York,In her most personal and inspiring book yet the beloved speaker philanthropist activist and author explores the wild joy we discover when we stop trying to be good for others and start living true to ourselves.This is how you find yourself.There is a voice of longing inside every woman. We strive so mightily to be good: good mothers daughters partners employees citizens and friends. We believe all this striving will make us feel alive. Instead it leaves us feeling weary stuck overwhelmed and underwhelmed. We look at our lives relationships and world and wonder: Wasn’t it all supposed to be more beautiful than this? We quickly silence that question telling ourselves to be grateful. We hide our simmering discontent—even from ourselves. Until we reach our boiling point.Four years ago Glennon Doyle—bestselling Oprah-endorsed author renowned activist and humanitarian wife and mother of three—was speaking at a conference when a woman entered the room. Glennon looked at her and fell instantly in love. Three words flooded her mind: There She Is. At first Glennon assumed these words came to her from on high. Soon she realized that they came to her from within.Glennon was finally hearing her own voice—the voice that had been silenced by decades of cultural conditioning numbing addictions and institutional allegiances. This was the voice of the girl Glennon had been before the world told her who to be. She vowed to never again abandon herself. She decided to build a life of her own—one based on her individual desire intuition and imagination. She would reclaim her true untamed self.Soulful and uproarious forceful and tender Untamed is both a memoir and a galvanizing wake-up call. It offers a piercing electrifying examination of the restrictive expectations women are issued from birth; shows how hustling to meet those expectations leaves women feeling dissatisfied and lost; and reveals that when we quit abandoning ourselves and instead abandon the world’s expectations of us we become women who can finally look at our lives and recognize: There She Is.Untamed shows us how to be brave. As Glennon insists: The braver we are the luckier we get.Glennon Doyle is the author of the #1 New York Times bestseller Love Warrior an Oprah’s Book Club selection as well as the New York Times bestseller Carry On Warrior. An activist speaker and thought leader she is also the founder and president of Together Rising an all-women led nonprofit organization that has revolutionized grassroots philanthropy—raising over $22 million for women families and children in crisis with a most frequent donation of just $25. Glennon was named among OWN Network’s SuperSoul100 inaugural group as one of 100 “awakened leaders who are using their voices and talent to elevate humanity.” She lives in Florida with her wife and three children.This event will be held at St. Ann's Church at 157 Montague St. in Brooklyn Heights. All tickets are seated and every ticket includes 1 copy of Untamed.  Doors open at 6:15pm.
Sat Dec 21,INSPI(RED)^3: BLVCK OPULENCE,Slate  ,New York,not available
Thu Dec 19,Jesse Malin with Special Guest Lucinda Williams,Bowery Ballroom ,New York,Tickets on sale Tues 10/22 at 12pm EST
Tue Dec 31,Bubba Gump Shrimp Co. Times Square- New Year's Eve Party,Bubba Gump Shrimp Co.   City ,New York,not available
Thu Dec 5,Skift Short-Term Rental Summit,636 11th Ave ,New York,The focus of this intense one-day summit will be on discussing key players mapping the landscape and identifying growth potential highlighting emerging technologies sharing new research and insights on the latest government regulations and discussing business and landscape challenges.  What’s Included in My Ticket? Skift events mix high production levels and the best hospitality practices. Access to entire single-track eventLunchNetworking breaks
Fri Dec 13,29Rooms New York - December 132019,25 Kent ,New York,The Expand Your Reality Tour is the latest 29Rooms experience from Refinery29 - a space where you're encouraged to step into the art wear the art touch the art and connect with others (and yourself) in the process.  Created in collaboration with innovative talent visionary artists and your favorite brands 29Rooms pairs the joy and play of exploration with the pulse of current events and culture. SESSION TIMES:Open daily beginning at 10:30AM on weekends and 1:30PM on weekdays*Your 29Rooms GA ticket gives you 2.5 hours to explore our creative world a.k.a. plenty of time to fully immerse yourself and let your imagination run wild. But be sure to check the session start time on your ticket as you will only be granted entry at that specific time.IMPORTANT INFORMATION:In order to get the most out of your 29Rooms visit we recommend arriving 15 minutes before your session’s start time to ensure a quick and easy check-in. (So if your start time is 5:30 PM try getting to the venue by 5:15 PM!)29Rooms TICKET POLICY:There are no ticket refunds or exchanges. All sales are final. Event is rain or shine.Children 2 & under are admitted FREETickets are only valid for the date and session on your ticket. Sessions are valid for 2.5 hours after the designated start time.If you can’t find your PDF or Mobile ticket please visit the Tickets section of your Eventbrite account.In the event that the purchaser cannot use ticket tickets are transferable (i.e. purchaser can give their ticket to a friend for use). Entry is based on ticket barcode (not name of purchaser).Each ticket will be scanned and is only good for ONE single-person entry. There is no re-entry.Need Help?Head to www.29Rooms.com for more information including our Frequently Asked Questions.Follow us on social @29Rooms for all updates and announcements. And feel free to DM us with any comments questions or cute dog memes.Still have a question that hasn't been addressed or want to find out how you can be more involved with 29Rooms? Email us at info@29Rooms.com.
Wed Apr 10,Black Tiger Sex Machine - Futuristic Thriller Tour,Great Hall - Avant Gardner ,New York,not available
Fri Nov 29,Throwback Friday,House of Yes ,New York,not available
Fri Dec 13,Holiday Disco with Dimitri From Paris,House of Yes ,New York,not available
Fri Dec 20,Terry Riley Live at 85,Pioneer Works ,New York,Doors open at 7 pm both nights. For two unique evenings of music Pioneer Works celebrates the renowned minimalist composer Terry Riley in his 85th year. Both nights will include performances from Riley with longtime collaborators and musicians. Terry Riley (composer pianist vocalist) launched the minimalist movement with his classic In C composed in 1964 a seminal work which was to have an enormous impact on the course of western music. His music has been played in the great concert halls throughout the world and his discography includes 60 recordings on labels such as Columbia Masterworks Wergo and Nonesuch. He attended San Francisco State University and the University of California graduating with a masters degree in music. He studied composition with Robert Erickson and piano with Adolf Baller.Single-Night TicketsAdvanced: $35Day-of Show: $40Two-Day PassAdvanced: $50Day-of Show: $60Program One December 20Interpretations on Standards For Solo PianoTerry Riley (piano)Mandela Miniatures for Saxophone QuartetTravis LaplanteDan BlakeCaroline DavisScott RobinsonJohn Zorn and Terry RileyTread on the TrailGyan Riley (guitar)David Cossin (drums)Greg Chudzik (bass)Caroline Davis (saxophone)Travis Laplante (saxophone)Nathan Koci (accordion)Program Two December 21Improvisational WorkTerry Riley (piano)Gyan Riley  (guitar)A Rainbow in Curved Air
Tue Dec 10,29Rooms New York - December 102019,25 Kent ,New York,The Expand Your Reality Tour is the latest 29Rooms experience from Refinery29 - a space where you're encouraged to step into the art wear the art touch the art and connect with others (and yourself) in the process.  Created in collaboration with innovative talent visionary artists and your favorite brands 29Rooms pairs the joy and play of exploration with the pulse of current events and culture. SESSION TIMES:Open daily beginning at 10:30AM on weekends and 1:30PM on weekdays*Your 29Rooms GA ticket gives you 2.5 hours to explore our creative world a.k.a. plenty of time to fully immerse yourself and let your imagination run wild. But be sure to check the session start time on your ticket as you will only be granted entry at that specific time.IMPORTANT INFORMATION:In order to get the most out of your 29Rooms visit we recommend arriving 15 minutes before your session’s start time to ensure a quick and easy check-in. (So if your start time is 5:30 PM try getting to the venue by 5:15 PM!)29Rooms TICKET POLICY:There are no ticket refunds or exchanges. All sales are final. Event is rain or shine.Children 2 & under are admitted FREETickets are only valid for the date and session on your ticket. Sessions are valid for 2.5 hours after the designated start time.If you can’t find your PDF or Mobile ticket please visit the Tickets section of your Eventbrite account.In the event that the purchaser cannot use ticket tickets are transferable (i.e. purchaser can give their ticket to a friend for use). Entry is based on ticket barcode (not name of purchaser).Each ticket will be scanned and is only good for ONE single-person entry. There is no re-entry.Need Help?Head to www.29Rooms.com for more information including our Frequently Asked Questions.Follow us on social @29Rooms for all updates and announcements. And feel free to DM us with any comments questions or cute dog memes.Still have a question that hasn't been addressed or want to find out how you can be more involved with 29Rooms? Email us at info@29Rooms.com.
Tue Dec 31,Cityfox Odyssey NYE & NYD 2020: Âme b2b Dixon Sasha & John Digweed + More,Avant Gardner ,New York,This New Year’s Eve and New Year’s Day The Cityfox Odyssey returns for another 27-hour journey through 4 impeccable rooms of music featuring the biggest Cityfox lineup ever curated. We will again transform Avant Gardner into a sprawling festival grounds across two city blocks with lounges and creature comforts in addition to the music stages.**Re-entry is permitted subject to capacity**Limited tables available. To make a reservation please email reservations@avant-gardner.cominstagram.com/cityfoxexperiencetwitter.com/cityfoxexpinstagram.com/avantgardnerbktwitter.com/avantgbkProduced by Reynard Productions21+
Sat May 11,Soho Forum Debate: William Kristol vs. Scott Horton,Venue TBA   ,Newark,not available
Thu Feb 28,Andrew Rayel,Great Hall - Avant Gardner ,New York,The king of trouse music is hosting his 'Find Your Harmony' experience on February 28th as Andrew Rayel returns to Avant Gardner alongside ALPHA 9 Ben Nicky Fatum & Matt Medved.Sign up for limited pre-sale: andrewrayel.madeevent.com19+—Visiting Brooklyn for the big event? Here’s a bevy of accommodation options for a comfy stay: bit.ly/BKRoomsEvents at Avant Gardner may contain flashing lights and strobe effects which affect photosensitive individuals.
Sat Dec 14,OM and Emel Mathlouthi,Pioneer Works ,New York,"	There remains the singularity of purpose that is the core of all OM records but no single reason can account for this comprehensive nature of their evolution. On their newest album the core primary sound of OM remains yet everything reaches further and becomes more of itself. Whatever drone-doom camp that OM had previously been placed in has been decimated by the sheer imagination and expansive quality of this recording. For a band that has continually followed its own course and stood alone in its sound and approach ADVAITIC SONGS for certain is the band’s most focused progressive document. Emel Mathlouthi rose to prominence after her 2007 recording ""Kelmti Horra (My Word Is Free)"" became a viral anthem during the Arab Spring earning her the title ""voice of the Tunisian revolution"" and eventually an invitation to perform at the 2015 Nobel Peace Prize ceremony. Her powerful heartfelt music defies genres melding together electronica Tunisian textures and a cinematic universe. 	"
Sat Dec 14,You Deserve It: NYC,Merkin Concert Hall ,New York,* Venues will be announced 6/14/2019It's time to take your life to a higher level and receive all of the amazing things you desire and deserve!Welcome to the YOU DESERVE IT tour. This is a life changing event for men and women that you do not want to miss.Here is what you can expect from this amazing event:A genuine desire for you to experience a higher quality of life and reach your true potential. Guidance and tools to help you achieve better dating better relationships real love a spiritual walk that produces results and a purpose driven life. You will be encouraged enlightened and entertained. We will cover topics such as:Real Love vs An Unhealthy AttachmentOvercoming The Common Pitfalls to Dating & RelationshipsHow To Love Yourself & Attract The Type Of Partner You DesireKeys To Greater Health & A Stronger SpiritImproving Your EnergyFinding Your PurposeHow To Increase Your IncomeHere's a preview of work to expect: https://www.youtube.com/watch?v=UYXFJ6JDyqghttps://www.youtube.com/watch?v=aI73_u4b_RISeating is limited! Hurry secure your seats today.
Fri Dec 13,Free Comedy Show,O.P.P.A. ,New York,not available
Sat Dec 14,Gates of the West: Celebrating the 40th Anniversary of London Calling,Bowery Ballroom ,New York,Tickets on sale Weds 11/13 at 12pm ESTWith performances by- Eugene Hutz of Gogol Bordello- Debbie Harry of Blondie- Jesse Malin- Fred Armisen- Adam Weiner of Low Cut Connie- Julia Cummings of Sunflower Bean- Patrick Stickles of Titus Andronicus- Vernon Reid & Corey Glover of Living Colour- Joseph Arthur- Tad Kubler of The Hold Steady- Dave Immergluck of Counting Crows- Robert Gordon- Don Dilego- Paul Bearer of Sheer Terror- Fiona Silver- Jeremy Lubin of Jeremy & The Harlequins- Diane Gentile- Felice Rosser of Faith- Drew Stone of Antidote- Boots- Ralphie G of The Mob- Jeff Slate- Kris Gruen- Matty HobokenPlus Special Guests! Benefit for the Joe Strummer Foundation and Music & MemoryThe Joe Strummer Foundation is not involved in the organization of this event. For more information on the charity and its work please visit www.joestrummerfoundation.org.
Thu Nov 28,THANKSGIVING APPRECIATION PARTY #SSOM,Maracas Night Club   Richmond Hill ,New York,THURSDAY NOVEMEBER 28 2019 THE NIGHT OF THANKSGIVING _____________________________________________SOCA STATE OF MIND APPRECIATION PARTY____________________________________________TABLE RESERVATIONS / VIP SECTION / PRE-ORDERS BOTTLE AVAILABLE  TEXT OR CALL 917-428-7387 OR 917-533-7985 NOW FOR YOUR RESERVATION _____________________________________________CELEBRATE YOUR BIRTHDAY ABSOLUTELY FREE WITH US RSVP NOW FOR OUR SPECIALS FOR BIRTHDAYS !!!! _____________________________________________STAY UPDATED FOLLOW @SocaStateofmind Now On INSTAGRAM
Fri Nov 29,DJ TUNEZ BLACKOUT NEW YORK CITY,Grand Prospect Hall  Brooklyn ,New York,not available
Sat Mar 9,Glennon Doyle: Untamed at St. Ann's Church,St. Ann & the Holy Trinity Church ,New York,In her most personal and inspiring book yet the beloved speaker philanthropist activist and author explores the wild joy we discover when we stop trying to be good for others and start living true to ourselves.This is how you find yourself.There is a voice of longing inside every woman. We strive so mightily to be good: good mothers daughters partners employees citizens and friends. We believe all this striving will make us feel alive. Instead it leaves us feeling weary stuck overwhelmed and underwhelmed. We look at our lives relationships and world and wonder: Wasn’t it all supposed to be more beautiful than this? We quickly silence that question telling ourselves to be grateful. We hide our simmering discontent—even from ourselves. Until we reach our boiling point.Four years ago Glennon Doyle—bestselling Oprah-endorsed author renowned activist and humanitarian wife and mother of three—was speaking at a conference when a woman entered the room. Glennon looked at her and fell instantly in love. Three words flooded her mind: There She Is. At first Glennon assumed these words came to her from on high. Soon she realized that they came to her from within.Glennon was finally hearing her own voice—the voice that had been silenced by decades of cultural conditioning numbing addictions and institutional allegiances. This was the voice of the girl Glennon had been before the world told her who to be. She vowed to never again abandon herself. She decided to build a life of her own—one based on her individual desire intuition and imagination. She would reclaim her true untamed self.Soulful and uproarious forceful and tender Untamed is both a memoir and a galvanizing wake-up call. It offers a piercing electrifying examination of the restrictive expectations women are issued from birth; shows how hustling to meet those expectations leaves women feeling dissatisfied and lost; and reveals that when we quit abandoning ourselves and instead abandon the world’s expectations of us we become women who can finally look at our lives and recognize: There She Is.Untamed shows us how to be brave. As Glennon insists: The braver we are the luckier we get.Glennon Doyle is the author of the #1 New York Times bestseller Love Warrior an Oprah’s Book Club selection as well as the New York Times bestseller Carry On Warrior. An activist speaker and thought leader she is also the founder and president of Together Rising an all-women led nonprofit organization that has revolutionized grassroots philanthropy—raising over $22 million for women families and children in crisis with a most frequent donation of just $25. Glennon was named among OWN Network’s SuperSoul100 inaugural group as one of 100 “awakened leaders who are using their voices and talent to elevate humanity.” She lives in Florida with her wife and three children.This event will be held at St. Ann's Church at 157 Montague St. in Brooklyn Heights. All tickets are seated and every ticket includes 1 copy of Untamed.  Doors open at 6:15pm.
Sat Dec 21,INSPI(RED)^3: BLVCK OPULENCE,Slate  ,New York,not available
Thu Dec 19,Jesse Malin with Special Guest Lucinda Williams,Bowery Ballroom ,New York,Tickets on sale Tues 10/22 at 12pm EST
Tue Dec 31,Bubba Gump Shrimp Co. Times Square- New Year's Eve Party,Bubba Gump Shrimp Co.   City ,New York,not available
Sat Nov 30,Unicornicopia,House of Yes ,New York,not available
Fri Nov 29,Peekaboo,Kings Hall - Avant Gardner ,New York,*LOW TICKET WARNING*
Fri Dec 6,2019 Hindsight Conference: Erasure Remembrance and Healing, City College of Technology ,New York,"	Hindsight 2019The Hindsight Conference is an all-day conference in New York City on urban planning through an equity lens. Hindsight Conference 2019 is themed Erasure Remembrance and Healing.  2019 marks the 50th Anniversary of the Stonewall Uprising the 100th Anniversary of the 1919 ""Red Summer” and 400 years since enslaved Africans were first were brought by European colonists  to occupied Powhatan territory historically renamed Jamestown in Virginia. There are many other anniversaries in 2019 but we acknowledge that the history of time and place remembered are imperfect. This year’s conference theme reflects on the intersection of urban planning policy and community development with the erasure of history collective amnesia the movement of remembrance and community healing.Through a day of workshops performances panels and a walking tour we challenge attendees to reflect upon how our narratives shape our built environment our communities and our relationships with one another. We consider which stories are told which are silenced or capitalized and who tells the stories. Through remembering we embark on a process of healing ourselves our communities and our cities. Please visit www.hindsightcon.com for more information and the full program.	"
Fri Feb 22,Sango Savon & Anik Khan @ Elsewhere (Hall),Elsewhere (Hall) ,New York,ONSALE: FRIDAY 10/18 10AM ESTDOOR: $30Elsewhere is intended to be a safe space to enjoy music art expression and free play. Elsewhere reserves the right to deny remove and/or ban any customer deemed to be disrespecting our zero-tolerance harassment policy. Please read our full policy at: https://bit.ly/2VxByad All ticket sales are final and Elsewhere does not offer refunds for any reason except event cancellation or reschedule. Opening performers door times and set times are subject to change without notice. All ticket holders must present a valid US government-issued ID or passport upon entering and Elsewhere reserves the right to refuse entry without refund to anyone who does not have a valid ID or meet the event's age requirement. Please note that Elsewhere does not accept foreign IDs of any kind other than passports. Elsewhere does not guarantee the validity or use for admittance of tickets purchased via 3rd party resellers of any kind.
Sat Nov 30,Ladies Night at Ravel Penthouse 808 Saturdays Everyone FREE (Gametight),Penthouse808  Queens ,New York,not available
Sun Dec 8,The A-List Holiday Gala,Queens  Queens ,New York,not available
Mon Dec 9,"HERITAGE: Daniel ""Dapper Dan"" Day",Schomburg Center for Research in Black Culture ,New York,not available
Wed Mar 13,Subtronics w/ HE$H,Great Hall - Avant Gardner ,New York,Philly dub producer Subtronics brings the heavy bass to Avant Gardner for his 'Cyclops Invasion Tour' this spring on March 13th with support from He$h Chee Bommer + Level Up.19+---A limited number of tables are available. To make a reservation please email reservations@avant-gardner.com.Visiting Brooklyn for the big event? Here’s a bevy of accommodation options for a comfy stay: bit.ly/BKRoomsEvents at Avant Gardner may contain flashing lights and strobe effects which affect photosensitive individuals.
Fri Dec 6,Chadwick Stokes & the Pintos,Bowery Ballroom ,New York,Tickets on sale Fri 9/27 at 12pm ESTSpotify Presale: Weds 9/25 at 10am - Thurs 9/26 at 10pm ESTCiti® Cardmember Presale: Weds 9/25 at 10am - Thurs 9/26 at 10pm ESTCode: Use the first six digits of your Citi® card.$1 per ticket will donated to Calling All Crows. More info at http://www.callingallcrows.org
Wed Dec 11,Renzo Piano on Designing an Inclusive City,The Forum at Columbia University ,New York,Renzo Piano the Pritzker Prize-winning architect behind the first new buildings on Columbia’s Manhattanville campus will reflect on the role of architecture in creating more inclusive cities. Speaking at the Forum one of his three Manhattanville buildings he will discuss how architecture can create more open permeable neighborhoods provide arenas for cross-cutting exchanges and opportunities and enrich civic life. Offering contemplations on democracy and participation alongside examples of his work Piano will discuss how architecture can address particular needs while also pointing toward models of thinking and doing that are more generalizable and dynamic.This event is organized by Columbia World Projects and co-presented with the Graduate School of Architecture Planning and Preservation and the School of the Arts.Check-in will begin 45 minutes prior to start time. Online registration is required and seating is limited on a first-come first-served basis early arrival is suggested.Photo credit Stephano Goldberg.
Wed Nov 27,Give Thanks,Sanders Studios ,New York,GIVE THANKSThanksgiving WednesdayNovember 27th9PM-3AM_____________________________________________________________________________________Riggo Suave & DJ FiremanEZ SoundsKevin CrownNoah Powa & DJ PolishDJ Liquee_____________________________________________________________________________________Table/Birthday/Cabana Packages Available$100 Bottles before Midnight
Wed Feb 6,DIJON,Bowery Ballroom ,New York,Tickets on sale Fri 11/08 at 10am ESTArtist Presale: Tues 11/05 at 1pm - Fri 11/08 at 1am ESTSpotify Presale: Weds 11/06 at 1pm - Fri 11/08 at 1am EST
Mon Jan 28,Phora – Love Yourself Tour,Bowery Ballroom ,New York,Tickets on sale Fri 11/01 at 12pm ESTVIP Packages on sale Weds 10/30 at 10am ESTCiti® Cardmember Presale: Weds 10/30 at 10am - Thurs10/31 at 10pm ESTCode: Use the first six digits of your Citi® card.
Thu Feb 14,FREE FIFI FASHION WEEK,WATSON HOTEL ,New York,FIFI FASHION WEEK SHOW (FASHION INDUSTRY FINEST INDEPENDENT designers. This event is sponsored by Fashion Avenue News MagazineAbout this EventThis World Wide event features established and emerging fashion industry talent. The show is professionally run and last exactly one hour and 15 mins. We have models from all over. We start on time. This is a great show.
Wed Nov 27,Thank You For Everything: Thanksgiving Eve,House of Yes ,New York,not available
Mon Dec 16,SVG Summit, Hilton Midtown ,New York,not available
Fri Dec 6,Sir Roger Penrose in Conversation with Janna Levin,Pioneer Works ,New York,Sir Roger Penrose was knighted by Queen Elizabeth II for his remarkable contributions to mathematics and physics. He is one of only twenty-two living recipients of the honor. Sir Roger as he is fondly known to other physicists is a relentlessly creative genius of the highest order. He has contributed profoundly to the structure of spacetime and geometry black holes the unification of quantum mechanics and gravity and the origin of our universe. His radical ideas on consciousness have provoked controversy and fascination while his playful geometric tilings were thought to be impossible in reality. Though intuition defying Penrose tilings ignited the imaginations of filmmakers and artists and ultimately were discovered in nature. Join Pioneer Works Director of Sciences Janna Levin as she hosts Sir Roger Penrose in a conversation that will stretch across the universe theories of consciousness and infinity. Join us after the conversation for a book signing with Sir Penrose. Books will be available for purchase at the event. Weather permitting there will also be stargazing with the Amateur Astronomers Association of NY in our garden.Sir Roger Penrose Order of Merit and Fellow of the Royal Society is presently Emeritus Rouse Ball Professor of Mathematics at the University of Oxford and an Emeritus Fellow at Wadham College. He won among many other awards the Wolf Prize in Physics which he shared with Stephen Hawking for the Hawking-Penrose Singularity Theorems. Janna Levin is the Chair and Director of the Science Studios at Pioneer Works. She is the Claire Tow Professor of physics and astronomy at Barnard College of Columbia University. Janna is a Guggenheim Fellow and a PEN-award winning novelist for a first work of fiction. She is the presenter of the NOVA feature Black Hole Apocalypse aired on PBS—the first female presenter for NOVA in 35 years.This project is supported by Science Sandbox a Simons Foundation initiative dedicated to engaging everyone with the process of science.
Fri Feb 1,Free Model Casting Call - Le Coiffeur Style the Runway 2020 - LCSTR,CHELSEA STUDIOS ,New York,Female Models must be between the ages of 15 to 35 years old and height 5-8 and up and dress size 0 to 18.AUDITION ATTIRE:WOMEN - Wear Fitted Skinny Jeans and Fitted All White Top with Minimum 3 inch Stiletto Heels.Female Models must be between the ages of 16 to 33 years old and height 5-8 and up and dress size 0 to 18.MALE:Attire: Tank top and black jeans or slacks. No sneakers! height 5'9 and upComp cards or professional head shots/full body shots are required. Arrive on time.No entourage.No children allowed inside the audition room
Sat Nov 30,New York - Vegan Christmas Market,See Description for Location Address  ,New York,Open to the general public the Vegan Christmas Market features a curated group of vendors offering a wide range of vegan products. All made without animal exploitation attendees will find among these products pastries chocolate treats cosmetic products artisanal soaps clothing and more.The Vegan Christmas Market was created to encourage the public to shop in a manner that underlines the essence of the Holidays which is a celebration of peace love and compassion for all beings humans as well as animals.The 2019 Vegan Christmas Market will take place in New York Montreal and Toronto.LOCATION:NYC :   342 W 37th Street New York NY 10018TICKETS OPTIONS:  General  // VIP // ADVANCE ACCESS PASS General Admission :   FREE  access to both days Saturday Nov. 30 2019  :   11 a.m. to 6 p.m. Sunday Dec. 1 2019  :  10 a.m. to 5 p.m. VIP  Tickets :   $8 (plus eventbrite & processing fees) -- VIP tickets include a gift vegan beanie : 1 classic style knit beanie with cuff in black color embroidered with leaf logo. Vegan warm designed and ethically Made in Canada. One Size. Reg. value $27. 100% Acrylic.  Plus you will also get : - Access to both days + 1 hour of advance shopping time from 10 a.m. on Saturday Nov. 30th.Saturday Nov. 30 2019  :   10 a.m. to 6 p.m. Sunday Dec. 1 2019  :  10 a.m. to 5 p.m. - Automatic enrollment in our VIP prize draws (Winners will be notified before Nov. 30th and must pick up their prize during opening hours of the Vegan Christmas Market.)- Exclusive promotions or discounts by some vendors.Advance Access  Pass :   $4 (plus eventbrite & processing fees) - Access to both days + 1 hour of advance shopping time from 10 a.m. on Saturday Nov. 30th.Saturday Nov. 30 2019  :   10 a.m. to 6 p.m. Sunday Dec. 1 2019  :  10 a.m. to 5 p.m. - Automatic enrollment in our VIP prize draws (Winners will be notified before Nov. 30th and must pick up their prize during opening hours of the Vegan Christmas Market.)- Exclusive promotions or discounts by some vendors.Limited quantity. ------------------------------------------------------OUR REFUND & EXCHANGE POLICYAll sales final non-exchangeable  and non-refundable. VIP tickets and Advance Access Passes are refundable only in the event that the Market organizers cancel the event or if the gift item (in the case of VIP tickets) is unavailable.********************************************************
Tue Dec 3,Berhana @ Elsewhere (Hall),Elsewhere (Hall) ,New York,ARTIST PRESALE: TUESDAY 9/17 10AM EST - THURSDAY 9/19 10PM ESTSPOTIFY PRESALE: WEDNESDAY 9/18 10AM EST - THURSDAY 9/19 10PM ESTPUBLIC ONSALE: FRIDAY 9/20 10AM ESTElsewhere is intended to be a safe space to enjoy music art expression and free play. Elsewhere reserves the right to deny remove and/or ban any customer deemed to be disrespecting our zero-tolerance harassment policy. Please read our full policy at: https://bit.ly/2VxByad All ticket sales are final and Elsewhere does not offer refunds for any reason except event cancellation or reschedule. Opening performers door times and set times are subject to change without notice. All ticket holders must present a valid US government-issued ID or passport upon entering and Elsewhere reserves the right to refuse entry without refund to anyone who does not have a valid ID or meet the event's age requirement. Please note that Elsewhere does not accept foreign IDs of any kind other than passports. Elsewhere does not guarantee the validity or use for admittance of tickets purchased via 3rd party resellers of any kind.
Sat Nov 30,Unicornicopia,House of Yes ,New York,not available
Fri Nov 29,Peekaboo,Kings Hall - Avant Gardner ,New York,*LOW TICKET WARNING*
Fri Dec 6,2019 Hindsight Conference: Erasure Remembrance and Healing, City College of Technology ,New York,"	Hindsight 2019The Hindsight Conference is an all-day conference in New York City on urban planning through an equity lens. Hindsight Conference 2019 is themed Erasure Remembrance and Healing.  2019 marks the 50th Anniversary of the Stonewall Uprising the 100th Anniversary of the 1919 ""Red Summer” and 400 years since enslaved Africans were first were brought by European colonists  to occupied Powhatan territory historically renamed Jamestown in Virginia. There are many other anniversaries in 2019 but we acknowledge that the history of time and place remembered are imperfect. This year’s conference theme reflects on the intersection of urban planning policy and community development with the erasure of history collective amnesia the movement of remembrance and community healing.Through a day of workshops performances panels and a walking tour we challenge attendees to reflect upon how our narratives shape our built environment our communities and our relationships with one another. We consider which stories are told which are silenced or capitalized and who tells the stories. Through remembering we embark on a process of healing ourselves our communities and our cities. Please visit www.hindsightcon.com for more information and the full program.	"
